,SEID,EpisodeNo,Season,SentimentTotal,LineCountTotal,WordCountTotal,SentimentJerry,LineCountJerry,WordCountJerry,SentimentGeorge,LineCountGeorge,WordCountGeorge,SentimentKramer,LineCountKramer,WordCountKramer,SentimentElaine,LineCountElaine,WordCountElaine,SentimentMainChars,LineCountMainChars,WordCountMainChars,SentimentSecondary,LineCountSecondary,WordCountSecondary,SentimentOther,LineCountOther,WordCountOther
91,S06E08,8,6,0.087617316,293,3286,0.126898377,76,801,0.176312167,54,600,-0.025995032,46,624,0.020385662,31,272,0.085658206,207,2297,,,,0.092167442,86,989
92,S06E09,9,6,0.285318669,325,3953,0.230884848,92,1089,0.30878556,45,741,0.195360392,51,510,0.299085938,44,512,0.257015954,232,2852,,,,0.358633243,93,1101
93,S06E10,10,6,0.184378341,295,3292,-0.06788929,62,775,0.289835938,50,640,0.222516187,30,278,0.323475194,45,387,0.153810192,187,2080,,,,0.236838531,108,1212
94,S06E11,11,6,0.114608567,314,2743,0.076988757,74,845,0.238718956,81,728,0.051884953,41,319,0.03958133,51,391,0.118646737,247,2283,0.262248649,5,37,0.079899764,62,423
95,S06E12,12,6,0.204982303,333,3170,0.278635784,112,925,0.202971375,72,793,0.051194318,28,352,0.271798775,42,408,0.220988176,254,2478,0.399055636,20,275,-0.018117746,59,417
96,S06E13,13,6,0.137992363,350,3588,0.043684636,77,755,0.107808604,93,709,0.204021875,42,448,-0.041049489,41,489,0.0752798,253,2401,0.220544,7,50,0.266792084,90,1137
97,S06E16,16,6,0.132597185,297,2735,-0.001831671,91,742,0.134252045,51,538,0.09190095,38,421,0.271842346,72,699,0.124823583,252,2400,,,,0.188288657,45,335
98,S06E17,17,6,0.179337468,381,3499,0.290766236,124,1238,0.162511253,47,471,0.025763789,48,417,0.006376721,54,494,0.171910305,273,2620,0.18702844,9,109,0.20352039,99,770
99,S06E18,18,6,0.121496115,331,2960,0.115846371,63,496,0.084898329,41,359,0.185646348,48,397,0.103950522,47,479,0.122144541,199,1731,0.137015743,65,451,0.111056812,67,778
100,S06E19,19,6,0.174194679,303,2725,0.043663301,67,515,0.147012195,49,451,0.197901377,67,581,0.113457111,57,450,0.127604156,240,1997,,,,0.301998626,63,728
101,S06E20,20,6,0.065384806,321,2909,-0.123358304,88,849,0.146758032,52,498,0.183217344,37,369,0.176073333,73,555,0.058864905,250,2271,0.082783983,23,231,0.091889681,48,407
102,S06E21,21,6,0.146107446,331,3089,0.162331598,82,845,0.134203866,54,569,0.269780263,42,456,0.270514976,51,414,0.196385814,229,2284,-0.031166497,47,394,0.036643066,55,411
103,S06E22,22,6,0.064397989,259,2437,-0.004280792,57,505,0.431383544,33,395,0.134648936,31,188,-0.070603731,30,268,0.1287809,151,1356,-0.229798165,15,109,0.007570988,93,972
104,S06E23,23,6,0.080380172,299,3016,0.058204862,84,761,0.230551738,42,489,0.08518449,52,735,-0.024310694,51,346,0.090618962,229,2331,-0.05469582,31,311,0.128888235,39,374
105,S06E24,24,6,0.082448326,239,2568,0.013066667,50,459,0.072035443,16,158,0.313895981,36,423,0.248581414,39,382,0.172373629,141,1422,-0.11171645,15,231,-0.008285792,83,915
106,S07E01,1,7,0.155518718,312,2575,0.148209538,84,650,0.305834097,75,698,0.26400678,42,413,-0.026382895,40,380,0.190947081,241,2141,0.062514931,44,288,-0.180556849,27,146
107,S07E02,2,7,0.043159214,308,3131,0.080875382,94,719,-0.070853251,67,969,-0.13731046,29,239,0.243113396,58,530,0.034808913,248,2457,-0.009434973,22,183,0.104547047,38,491
108,S07E03,3,7,0.088601847,384,3574,0.094432425,90,697,0.12034275,60,669,0.088520679,70,648,0.116313712,42,299,0.103098962,262,2313,0.063375439,10,57,0.061945764,112,1204
109,S07E04,4,7,0.103709235,340,3346,0.077587213,65,610,0.067799548,51,442,0.172197131,51,488,-0.053468026,65,613,0.059708268,232,2153,,,,0.183117519,108,1193
110,S07E05,5,7,0.027138066,282,3247,0.060962795,89,973,-0.180615223,37,381,0.2175,28,341,-0.015828411,49,535,0.025202556,203,2230,,,,0.031382104,79,1017
111,S07E06,6,7,0.187045056,393,3216,0.186937672,96,799,0.231399822,70,562,0.179025956,51,366,0.170752933,84,716,0.191237208,301,2443,0.109615152,19,198,0.195896696,73,575
112,S07E07,7,7,0.062939834,299,2892,0.074645246,76,610,0.101211698,65,530,0.02086119,28,420,0.149909119,40,329,0.083249127,209,1889,0.18492381,10,84,0.010044396,80,919
113,S07E08,8,7,0.066103276,354,3449,-0.004531185,106,869,0.066454196,60,703,0.075990452,52,597,0.236249076,58,487,0.076505761,276,2656,0.131784426,35,244,-0.01341439,43,549
114,S07E09,9,7,0.074834528,325,3096,0.116451097,70,775,-0.061959805,72,719,0.085757851,22,242,0.178547991,46,423,0.065761788,210,2159,0.036693443,34,244,0.116529293,81,693
115,S07E10,10,7,0.161449625,350,3196,0.073409669,56,362,0.074886897,80,809,0.353379341,71,910,0.009788791,31,339,0.170269174,238,2420,,,,0.133945361,112,776
116,S07E11,11,7,0.101014033,295,3000,0.112962007,61,608,0.041607376,55,583,0.221138122,37,362,0.193297854,32,466,0.130295592,185,2019,-0.031039348,46,460,0.104133205,64,521
117,S07E12,12,7,0.098130113,345,3530,0.038940152,69,660,0.206150298,41,503,0.108155714,57,490,0.261392604,36,338,0.135982471,203,1991,-0.099885106,6,47,0.053855764,136,1492
118,S07E13,13,7,0.119715717,345,3423,0.22427561,75,902,0.161927136,57,597,0.112510518,62,599,0.007081076,61,502,0.142275231,255,2600,-0.090960197,29,407,0.184836779,61,416
119,S07E14,14,7,0.195761866,372,3215,0.131379359,88,562,0.447236175,70,821,0.306292647,36,340,0.193855939,36,261,0.300278226,230,1984,0.112125214,72,583,-0.048991667,70,648
120,S07E15,15,7,0.17383946,266,2372,0.21855509,27,167,0.349681381,44,478,0.294863158,4,19,0.092769259,64,553,0.214092194,139,1217,0.012866742,60,445,0.205734225,67,710
121,S07E16,16,7,0.022207991,314,3216,-0.107592999,75,957,0.182012045,36,357,0.003447186,25,231,0.148608613,55,476,0.016598615,191,2021,0.031358104,87,728,0.032219272,36,467
122,S07E17,17,7,0.133523026,313,3813,0.116978508,75,1019,0.091856061,39,462,0.265117372,33,449,0.16239718,44,532,0.149094882,191,2462,0.062584251,53,654,0.145081205,69,697
123,S07E18,18,7,0.091407611,389,3127,0.05751972,137,928,0.200063664,78,655,0.118028274,45,481,0.033999234,33,261,0.107555011,293,2325,0.143675472,9,53,0.037585314,87,749
124,S07E19,19,7,0.100346815,355,3108,-0.013065374,73,722,0.035898517,38,472,0.170646278,53,497,0.199372311,68,437,0.084326974,232,2128,0.211530769,8,52,0.130851832,115,928
125,S07E20,20,7,0.052971557,296,2897,-0.065591054,71,626,0.147581436,48,571,0.249095225,40,356,-0.006734756,54,328,0.068940936,213,1881,0.157898907,14,183,-0.006140216,69,833
126,S07E21,21,7,0.129933096,267,2813,-0.011794035,65,570,0.146273824,46,489,0.086288426,26,216,0.238504348,32,299,0.098320457,169,1574,-0.063746087,23,230,0.223396432,75,1009
127,S07E22,22,7,0.182815566,261,2801,0.148522556,51,399,0.120631169,19,231,0.026798901,47,455,0.063630252,34,238,0.086518367,151,1323,0.069854203,35,345,0.329658341,75,1133
128,S07E23,23,7,0.153437332,309,3426,0.016741781,81,730,0.430502443,39,614,0.040431974,41,466,0.219767164,56,670,0.178481976,217,2480,0.309044706,6,85,0.065937515,86,861
129,S07E24,24,7,0.098559866,332,2696,0.07765537,84,717,0.187575,77,596,0.015769178,59,438,0.013334211,20,190,0.091145801,240,1941,0.039591626,26,203,0.146315761,66,552
130,S08E01,1,8,0.054722059,315,2720,0.041468692,92,757,0.193772634,65,486,-0.094379446,37,433,-0.024105714,52,455,0.034599202,246,2131,,,,0.127526486,69,589
131,S08E02,2,8,0.088134926,306,2909,0.114135116,69,561,-0.145233016,47,630,0.125273591,47,337,0.275212368,40,380,0.0625424,203,1908,0.182551757,27,313,0.116155378,76,688
132,S08E03,3,8,0.166691235,302,2989,0.129218035,89,804,0.262438716,41,545,0.11761618,38,377,0.195459298,50,570,0.175380444,218,2296,,,,0.137902742,84,693
133,S08E04,4,8,-0.00687076,324,3054,-0.163477114,95,1005,0.094609859,48,355,0.024553231,61,588,0.175593533,57,634,-0.00191495,261,2582,-0.033397333,7,75,-0.034090932,56,397
134,S08E05,5,8,0.118463626,325,2675,0.003435714,74,462,0.153122811,55,434,0.177901274,44,471,0.096727309,53,498,0.107240912,226,1865,0.298562542,24,299,0.054042466,75,511
135,S08E06,6,8,0.005629066,271,2601,0.061657033,76,519,-0.13485119,34,336,-0.014616959,31,342,0.144037604,35,359,0.021465617,176,1556,-0.233622148,21,298,0.06808581,74,747
136,S08E07,7,8,0.180423107,357,3276,0.099099125,104,800,0.074111359,44,537,0.341770759,52,619,0.193736289,57,485,0.173943179,257,2441,,,,0.199366228,100,835
137,S08E08,8,8,0.081263902,319,2978,0.01301202,80,782,0.05079588,51,534,0.037846627,46,504,0.169243093,52,485,0.060068547,229,2305,0.303853763,14,93,0.129806034,76,580
138,S08E09,9,8,0.098749948,309,2877,0.099383879,85,763,0.20023884,59,569,0.034006897,36,319,0.174513811,39,391,0.131659598,219,2042,,,,0.018269102,90,835
139,S08E10,10,8,-0.014052829,301,3606,-0.022460462,83,822,-0.133146335,46,805,-0.157626411,33,443,0.30644233,33,515,-0.014567118,195,2585,0.004054237,34,472,-0.027198725,72,549
140,S08E11,11,8,0.09324067,345,3076,0.047728615,95,657,0.13352527,53,649,0.025579004,52,462,0.089233163,39,392,0.076302083,239,2160,0.283709859,6,71,0.120535385,100,845
141,S08E12,12,8,0.129657404,362,3397,0.111464444,60,495,0.095042653,57,490,0.16767301,50,515,0.1853025,52,440,0.138984794,219,1940,0.084751761,90,852,0.162987107,53,605
