# ----------------------------------------,,,,,,,,,
# Cage Code Site Data,,,,,,,,,
# Interests: Other Categories,,,,,,,,,
# 20160401-20180407,,,,,,,,,
# ----------------------------------------,,,,,,,,,
,,,,,,,,,
Other Category,Users,New Users,Sessions,Bounce Rate,Pages / Session,Avg. Session Duration,Goal Conversion Rate,Goal Completions,Goal Value
Business & Industrial/Business Finance/Investment Banking,104,89,176,10.23%,5.06,0:05:40,0.00%,0,$0.00 
Finance/Investing/Funds/Mutual Funds,104,82,179,17.32%,3.51,0:04:27,0.00%,0,$0.00 
Hobbies & Leisure/Radio Control & Modeling/Model Trains & Railroads,104,73,187,11.76%,3.59,0:04:02,0.00%,0,$0.00 
"Jobs & Education/Education/Colleges & Universities/Fraternities, Sororities & Student Societies",104,86,189,20.63%,5.9,0:05:10,0.00%,0,$0.00 
Business & Industrial,103,94,108,34.26%,2.77,0:01:23,0.00%,0,$0.00 
"Finance/Grants, Scholarships & Financial Aid/Government Grants",103,90,237,18.14%,3.79,0:04:40,0.00%,0,$0.00 
Shopping/Consumer Resources/Customer Services/Loyalty Cards & Programs,103,81,218,19.27%,6.59,0:05:28,0.00%,0,$0.00 
Arts & Entertainment/Movies/Family Films,102,78,175,22.29%,3.48,0:04:40,0.00%,0,$0.00 
Finance/Credit & Lending,102,84,252,28.57%,2.81,0:04:06,0.00%,0,$0.00 
Arts & Entertainment/Music & Audio/CD & Audio Shopping,100,85,192,25.00%,3.04,0:04:33,0.00%,0,$0.00 
Arts & Entertainment/Music & Audio/World Music/African Music,100,86,185,39.46%,2.38,0:02:42,0.00%,0,$0.00 
Business & Industrial/Agriculture & Forestry,100,80,132,12.88%,2.93,0:02:07,0.00%,0,$0.00 
Home & Garden/Kitchen & Dining/Small Kitchen Appliances/Blenders & Juicers,100,74,175,15.43%,4.41,0:06:09,0.00%,0,$0.00 
Law & Government/Public Safety/Crime & Justice/Gangs & Organized Crime,100,68,299,17.73%,4.27,0:13:33,0.00%,0,$0.00 
Sports/Animal Sports/Equestrian,100,78,146,17.81%,3.08,0:01:54,0.00%,0,$0.00 
Sports/Sports Fan Gear & Apparel,100,78,184,8.70%,5.46,0:07:26,0.00%,0,$0.00 
Business & Industrial/Retail Trade,99,77,160,11.25%,3.24,0:02:00,0.00%,0,$0.00 
Finance/Investing/Stocks & Bonds/Exchanges,99,85,154,19.48%,3.9,0:03:52,0.00%,0,$0.00 
Autos & Vehicles/Motor Vehicles (By Brand)/Nissan/Infiniti,98,76,198,12.63%,3.91,0:04:30,0.00%,0,$0.00 
Food & Drink/Food,98,63,200,21.50%,3.46,0:03:35,0.00%,0,$0.00 
Business & Industrial/Advertising & Marketing/Public Relations,97,78,260,24.62%,2.95,0:05:17,0.00%,0,$0.00 
People & Society/Social Sciences/Communications & Media Studies/Public Speaking,97,78,128,16.41%,3.84,0:02:40,0.00%,0,$0.00 
Sports/International Sports Competitions,97,68,171,17.54%,3.23,0:02:37,0.00%,0,$0.00 
Autos & Vehicles/Motor Vehicles (By Brand)/Fiat,95,82,140,15.00%,3.63,0:05:28,0.00%,0,$0.00 
Shopping/Toys/Die-cast & Toy Vehicles,95,68,149,15.44%,3.02,0:04:04,0.00%,0,$0.00 
Arts & Entertainment/Music & Audio/Music Equipment & Technology/Samples & Sound Libraries,94,70,146,14.38%,2.88,0:02:39,0.00%,0,$0.00 
Business & Industrial/Advertising & Marketing/Sales,94,76,142,28.17%,2.51,0:01:19,0.00%,0,$0.00 
Business & Industrial/Hospitality Industry/Food Service,94,78,121,22.31%,3.78,0:05:51,0.00%,0,$0.00 
Computers & Electronics/Computer Hardware/Computer Peripherals,94,65,179,10.06%,3.35,0:05:05,0.00%,0,$0.00 
Games/Party Games,94,76,154,11.69%,3.38,0:03:35,0.00%,0,$0.00 
Shopping/Apparel/Apparel Services,94,72,164,17.68%,3.2,0:03:49,0.00%,0,$0.00 
Shopping/Toys/Stuffed Toys,94,73,198,11.11%,2.82,0:02:59,0.00%,0,$0.00 
People & Society/Family & Relationships/Family/Parenting/Babies & Toddlers/Diapering & Potty Training,93,78,172,19.77%,4.46,0:06:03,0.00%,0,$0.00 
Sports/Team Sports/Australian Football,91,80,223,14.80%,5.86,0:05:49,0.00%,0,$0.00 
Autos & Vehicles/Motor Vehicles (By Brand)/Peugeot,90,70,137,24.82%,2.56,0:02:00,0.00%,0,$0.00 
Arts & Entertainment/Music & Audio,89,70,196,9.18%,3.19,0:04:13,0.00%,0,$0.00 
Computers & Electronics/Consumer Electronics/TV & Video Equipment/DVRs & Set-Top Boxes,87,63,181,18.78%,3.97,0:07:31,0.00%,0,$0.00 
Shopping/Consumer Resources/Customer Services/Warranties & Service Contracts,87,63,130,15.38%,3.11,0:02:30,0.00%,0,$0.00 
Autos & Vehicles/Vehicle Parts & Services/Vehicle Parts & Accessories/Auto Brakes,86,63,130,10.77%,3.85,0:02:57,0.00%,0,$0.00 
Beauty & Fitness/Spas & Beauty Services,86,70,220,22.73%,3.74,0:11:58,0.00%,0,$0.00 
Finance/Accounting & Auditing/Bookkeeping,85,77,111,23.42%,3.69,0:01:59,0.00%,0,$0.00 
Games/Arcade & Coin-Op Games,85,72,107,15.89%,3.11,0:01:37,0.00%,0,$0.00 
Internet & Telecom,85,60,176,14.20%,3.45,0:03:50,0.00%,0,$0.00 
Science,85,64,123,23.58%,3.34,0:03:12,0.00%,0,$0.00 
Arts & Entertainment/Events & Listings/Expos & Conventions,84,52,176,7.95%,3.28,0:03:15,0.00%,0,$0.00 
Finance/Credit & Lending/Loans/Personal Loans,84,65,164,16.46%,2.89,0:02:22,0.00%,0,$0.00 
Food & Drink/Cooking & Recipes/Desserts/Ice Cream & Frozen Desserts,84,64,213,44.13%,2.21,0:01:41,0.00%,0,$0.00 
Hobbies & Leisure/Paintball,84,60,176,23.86%,2.92,0:02:01,0.00%,0,$0.00 
Shopping/Photo & Video Services/Photo Printing Services,84,70,138,19.57%,3.14,0:06:01,0.00%,0,$0.00 
Autos & Vehicles/Motor Vehicles (By Brand)/Rolls-Royce,82,52,123,9.76%,4.18,0:03:54,0.00%,0,$0.00 
Business & Industrial/Energy & Utilities,81,65,115,18.26%,4.12,0:06:13,0.00%,0,$0.00 
Food & Drink/Beverages/Juice,81,59,147,12.24%,3.05,0:03:15,0.00%,0,$0.00 
Science/Biological Sciences/Neuroscience,81,60,140,20.71%,6.87,0:08:43,0.00%,0,$0.00 
Business & Industrial/Business Services/Corporate Events,80,67,117,25.64%,2.61,0:02:43,0.00%,0,$0.00 
Home & Garden/Home Furnishings/Living Room Furniture,80,67,127,20.47%,2.83,0:02:36,0.00%,0,$0.00 
Arts & Entertainment/Events & Listings/Film Festivals,78,61,102,19.61%,2.65,0:01:00,0.00%,0,$0.00 
Arts & Entertainment/TV & Video/TV Shows & Programs/TV Documentary & Nonfiction,78,61,112,10.71%,3.01,0:02:15,0.00%,0,$0.00 
Autos & Vehicles/Motor Vehicles (By Brand)/Lincoln,78,64,116,13.79%,2.68,0:01:14,0.00%,0,$0.00 
Business & Industrial/Agriculture & Forestry/Food Production,78,65,100,17.00%,3.37,0:03:06,0.00%,0,$0.00 
Sports/Sporting Goods/Skateboarding Equipment,78,68,103,22.33%,3.11,0:02:24,0.00%,0,$0.00 
Arts & Entertainment/Music & Audio/Music Reference/Sheet Music,77,60,170,22.94%,3.41,0:10:11,0.00%,0,$0.00 
Computers & Electronics/Software/Internet Software/Content Management,77,65,133,20.30%,2.98,0:02:31,0.00%,0,$0.00 
"Finance/Grants, Scholarships & Financial Aid/Study Grants & Scholarships",77,65,108,20.37%,3.24,0:03:27,0.00%,0,$0.00 
Travel/Air Travel/Airport Parking & Transportation,77,64,121,28.10%,3.43,0:02:20,0.00%,0,$0.00 
Games/Computer & Video Games/Video Game Emulation,76,59,200,55.50%,2.38,0:01:45,0.00%,0,$0.00 
Autos & Vehicles/Motor Vehicles (By Brand)/Ferrari,74,63,99,22.22%,3.03,0:01:48,0.00%,0,$0.00 
Food & Drink/Cooking & Recipes/Cuisines/Southeast Asian Cuisine/Vietnamese Cuisine,74,57,160,16.25%,2.78,0:03:29,0.00%,0,$0.00 
People & Society/Family & Relationships/Family,74,60,117,17.95%,3.38,0:04:40,0.00%,0,$0.00 
People & Society/Family & Relationships/Family/Parenting/Youth Camps,73,59,125,24.80%,2.83,0:02:45,0.00%,0,$0.00 
Shopping/Apparel/Eyewear,73,61,158,37.34%,2.97,0:03:00,0.00%,0,$0.00 
Arts & Entertainment/TV & Video/Online Video/Movie & TV Streaming,72,57,116,18.97%,2.95,0:03:18,0.00%,0,$0.00 
Business & Industrial/Transportation & Logistics,72,42,162,20.99%,2.95,0:04:58,0.00%,0,$0.00 
"Computers & Electronics/Computer Hardware/Computer Peripherals/Printers, Copiers & Fax Machines/Copiers",72,59,100,18.00%,4.49,0:04:21,0.00%,0,$0.00 
Law & Government/Legal/Legal Education,72,59,147,11.56%,3.88,0:05:20,0.00%,0,$0.00 
People & Society/Social Issues & Advocacy,72,52,82,19.51%,3.33,0:04:05,0.00%,0,$0.00 
People & Society/Social Sciences/Archaeology,72,53,146,34.25%,3.18,0:04:00,0.00%,0,$0.00 
Arts & Entertainment/Music & Audio/Music Equipment & Technology/DJ Resources & Equipment,70,57,97,21.65%,2.88,0:02:07,0.00%,0,$0.00 
Autos & Vehicles/Motor Vehicles (By Brand)/Citroën,70,53,116,25.86%,3.44,0:03:25,0.00%,0,$0.00 
Business & Industrial/Transportation & Logistics/Self Storage,70,63,111,18.92%,3.36,0:03:30,0.00%,0,$0.00 
Finance/Credit & Lending/Loans/Home Financing/Home Equity Loans & Lines of Credit,70,59,130,7.69%,6.37,0:10:14,0.00%,0,$0.00 
Hobbies & Leisure/Special Occasions/Holidays & Seasonal Events/Carnival & Mardi Gras,70,59,153,13.73%,5.75,0:07:27,0.00%,0,$0.00 
Home & Garden/Kitchen & Dining/Major Kitchen Appliances/Kitchen Hoods & Vents,69,61,115,17.39%,11.64,0:15:57,0.00%,0,$0.00 
Shopping/Apparel/Suits & Business Attire,69,61,151,21.85%,5.95,0:06:49,0.00%,0,$0.00 
Autos & Vehicles/Motor Vehicles (By Brand)/Toyota/Scion,68,55,184,11.96%,3.24,0:05:49,0.00%,0,$0.00 
Business & Industrial/Chemicals Industry/Dyes & Pigments,68,42,134,25.37%,3.81,0:04:33,0.00%,0,$0.00 
Finance,67,52,94,17.02%,4.54,0:05:07,0.00%,0,$0.00 
Finance/Insurance/Home Insurance,67,55,95,14.74%,3.88,0:03:09,0.00%,0,$0.00 
Jobs & Education/Jobs/Job Listings/Accounting & Finance Jobs,67,60,124,14.52%,6.31,0:10:12,0.00%,0,$0.00 
Science/Ecology & Environment,67,57,108,14.81%,3.42,0:04:33,0.00%,0,$0.00 
Arts & Entertainment/Performing Arts/Circus,65,55,120,18.33%,3.11,0:01:56,0.00%,0,$0.00 
Arts & Entertainment/TV & Video/TV Shows & Programs/TV Dramas/TV Medical Shows,65,55,74,22.97%,2.73,0:02:24,0.00%,0,$0.00 
Arts & Entertainment/Visual Art & Design/Art Museums & Galleries,65,53,162,20.37%,3.54,0:04:20,0.00%,0,$0.00 
Autos & Vehicles/Motor Vehicles (By Brand)/Fiat/Alfa Romeo,65,52,87,22.99%,2.89,0:03:09,0.00%,0,$0.00 
Internet & Telecom/Web Services/Affiliate Programs,65,50,134,18.66%,4.1,0:04:23,0.00%,0,$0.00 
Arts & Entertainment/Movies/Cult & Indie Films,64,48,106,13.21%,3.47,0:05:08,0.00%,0,$0.00 
Arts & Entertainment/Music & Audio/Music Equipment & Technology,64,50,86,23.26%,2.87,0:01:20,0.00%,0,$0.00 
Business & Industrial/Agriculture & Forestry/Crops & Seed,64,53,84,9.52%,3.12,0:01:24,0.00%,0,$0.00 
Business & Industrial/Hospitality Industry/Event Planning,64,47,160,29.38%,3.18,0:04:49,0.00%,0,$0.00 
Finance/Banking/Debit & Checking Services,64,52,120,30.83%,3.03,0:07:01,0.00%,0,$0.00 
Law & Government/Government/Government Agencies,64,51,115,19.13%,3.42,0:02:24,0.00%,0,$0.00 
Travel/Specialty Travel/Sightseeing Tours,64,47,98,16.33%,3.8,0:03:50,0.00%,0,$0.00 
Business & Industrial/Advertising & Marketing/Brand Management,63,46,245,31.02%,4.74,0:10:49,0.00%,0,$0.00 
Business & Industrial/Chemicals Industry/Agrochemicals,63,44,140,12.86%,3.22,0:03:17,0.00%,0,$0.00 
Jobs & Education/Internships,63,55,97,17.53%,3.14,0:01:58,0.00%,0,$0.00 
Arts & Entertainment/Music & Audio/Music Reference/Music Composition & Theory,61,46,140,16.43%,2.97,0:04:11,0.00%,0,$0.00 
People & Society/Subcultures & Niche Interests,61,56,70,17.14%,3.2,0:02:58,0.00%,0,$0.00 
Reference/Libraries & Museums/Libraries,61,44,80,10.00%,3.36,0:01:58,0.00%,0,$0.00 
Travel/Specialty Travel/Adventure Travel,61,46,95,17.89%,3.17,0:01:29,0.00%,0,$0.00 
Arts & Entertainment/Entertainment Industry/Recording Industry/Record Labels,60,39,184,27.72%,4.22,0:07:45,0.00%,0,$0.00 
Autos & Vehicles/Motor Vehicles (By Brand)/Maserati,60,44,86,15.12%,3.23,0:02:57,0.00%,0,$0.00 
Business & Industrial/Business Services/Outsourcing,60,50,78,10.26%,3.14,0:02:40,0.00%,0,$0.00 
Autos & Vehicles/Bicycles & Accessories/Road Bikes,59,48,140,45.00%,3.21,0:04:18,0.00%,0,$0.00 
Business & Industrial/Agriculture & Forestry/Horticulture,59,51,69,28.99%,3.41,0:01:51,0.00%,0,$0.00 
Business & Industrial/Small Business/Home Office,59,48,112,20.54%,4.33,0:05:14,0.00%,0,$0.00 
Jobs & Education/Education,59,50,82,14.63%,4.13,0:02:34,0.00%,0,$0.00 
Arts & Entertainment/Performing Arts/Opera,57,48,141,20.57%,3.06,0:03:32,0.00%,0,$0.00 
Autos & Vehicles/Motor Vehicles (By Brand)/Mercury,57,40,154,12.99%,4.12,0:07:06,0.00%,0,$0.00 
Computers & Electronics/Consumer Electronics/Game Systems & Consoles,57,44,102,17.65%,3.05,0:01:59,0.00%,0,$0.00 
Hobbies & Leisure/Special Occasions,57,40,142,37.32%,3.02,0:03:44,0.00%,0,$0.00 
Sports/Individual Sports/Racquet Sports,57,44,93,21.51%,3.44,0:03:21,0.00%,0,$0.00 
Beauty & Fitness/Face & Body Care,56,46,77,22.08%,3.01,0:03:47,0.00%,0,$0.00 
Business & Industrial/Business Operations,56,48,68,20.59%,3.59,0:03:56,0.00%,0,$0.00 
Computers & Electronics/Consumer Electronics/TV & Video Equipment/Video Players & Recorders/DVD Players & Recorders,56,43,94,10.64%,3.29,0:04:57,0.00%,0,$0.00 
Jobs & Education/Education/Early Childhood Education/Preschool,56,42,81,19.75%,2.84,0:01:50,0.00%,0,$0.00 
People & Society/Social Issues & Advocacy/Ethics,56,46,108,16.67%,4.32,0:05:28,0.00%,0,$0.00 
Reference/Libraries & Museums/Museums,56,39,85,15.29%,3.28,0:02:03,0.00%,0,$0.00 
Autos & Vehicles/Motor Vehicles (By Brand)/Saturn,55,39,74,16.22%,4.32,0:04:25,0.00%,0,$0.00 
Autos & Vehicles/Vehicle Parts & Services/Vehicle Repair & Maintenance/Collision & Auto Body Repair,55,39,115,11.30%,4.18,0:04:03,0.00%,0,$0.00 
Computers & Electronics/Computer Hardware/Computer Drives & Storage/Memory Card Readers,55,39,119,24.37%,2.8,0:02:33,0.00%,0,$0.00 
Food & Drink/Cooking & Recipes/Cuisines/Southeast Asian Cuisine,55,44,129,38.76%,3.82,0:04:09,0.00%,0,$0.00 
Jobs & Education/Jobs/Job Listings/IT & Technical Jobs,55,40,78,28.21%,2.44,0:01:09,0.00%,0,$0.00 
People & Society/Women's Interests,55,44,78,15.38%,3.03,0:01:05,0.00%,0,$0.00 
Arts & Entertainment/Music & Audio/Vocals & Show Tunes,53,38,76,22.37%,4.01,0:05:30,0.00%,0,$0.00 
Computers & Electronics/Software/Operating Systems,53,42,87,18.39%,2.94,0:02:42,0.00%,0,$0.00 
Food & Drink/Restaurants/Catering,53,43,91,17.58%,3.56,0:02:24,0.00%,0,$0.00 
Sports/Sporting Goods/Equestrian Equipment & Tack,53,46,104,12.50%,3.86,0:03:46,0.00%,0,$0.00 
Sports/Team Sports,53,43,73,21.92%,3.36,0:04:11,0.00%,0,$0.00 
Beauty & Fitness/Face & Body Care/Skin & Nail Care/Face Care Products,52,43,73,17.81%,2.79,0:02:37,0.00%,0,$0.00 
Computers & Electronics/Consumer Electronics/Car Electronics/Car Video,52,42,84,19.05%,2.71,0:02:31,0.00%,0,$0.00 
Computers & Electronics/Software/Multimedia Software,52,37,93,17.20%,4.06,0:05:02,0.00%,0,$0.00 
Sports/Sporting Goods/Winter Sports Equipment/Snowboarding Gear,52,39,108,20.37%,3.74,0:07:11,0.00%,0,$0.00 
Arts & Entertainment/Music & Audio/Experimental & Industrial Music,51,43,56,23.21%,3,0:01:47,0.00%,0,$0.00 
Business & Industrial/Professional & Trade Associations,51,42,78,23.08%,3.47,0:04:23,0.00%,0,$0.00 
News/Gossip & Tabloid News/Scandals & Investigations,51,44,77,16.88%,3.23,0:02:49,0.00%,0,$0.00 
Arts & Entertainment/Entertainment Industry/Recording Industry,50,33,77,10.39%,3.01,0:01:26,0.00%,0,$0.00 
Food & Drink/Cooking & Recipes/Cuisines/Mediterranean Cuisine,50,39,67,17.91%,3.27,0:03:47,0.00%,0,$0.00 
Home & Garden/Kitchen & Dining/Small Kitchen Appliances/Toasters & Toaster Ovens,50,40,73,16.44%,3.29,0:03:19,0.00%,0,$0.00 
Sports/Sporting Goods/Bowling Equipment,48,34,68,10.29%,3.26,0:02:48,0.00%,0,$0.00 
Sports/Sporting Goods/Water Sports Equipment,48,42,76,18.42%,2.37,0:01:30,0.00%,0,$0.00 
Computers & Electronics/Computer Hardware/Hardware Modding & Tuning,47,37,61,13.11%,3.16,0:02:54,0.00%,0,$0.00 
Computers & Electronics/Consumer Electronics/Game Systems & Consoles/Handheld Game Consoles,47,42,59,33.90%,2.92,0:01:32,0.00%,0,$0.00 
Food & Drink/Food/Organic & Natural Foods,47,40,64,14.06%,3.16,0:01:01,0.00%,0,$0.00 
Reference/General Reference,47,35,100,21.00%,2.79,0:03:29,0.00%,0,$0.00 
Autos & Vehicles/Motor Vehicles (By Brand)/Lamborghini,46,34,67,14.93%,4.21,0:10:20,0.00%,0,$0.00 
Business & Industrial/Hospitality Industry,46,37,70,20.00%,2.99,0:01:52,0.00%,0,$0.00 
Finance/Investing/Real Estate Investment Trusts,46,33,110,30.91%,2.38,0:02:33,0.00%,0,$0.00 
Games/Computer & Video Games/Simulation Games/Life Simulation Games,46,37,67,17.91%,3.34,0:03:41,0.00%,0,$0.00 
Online Communities/Blogging Resources & Services/Microblogging,46,42,52,32.69%,4.02,0:06:19,0.00%,0,$0.00 
People & Society/Social Issues & Advocacy/Privacy Issues,46,39,296,42.23%,2.19,0:06:29,0.00%,0,$0.00 
Computers & Electronics/Consumer Electronics/TV & Video Equipment/Video Players & Recorders,44,35,94,17.02%,3.65,0:06:32,0.00%,0,$0.00 
Food & Drink/Cooking & Recipes/Cuisines/Middle Eastern Cuisine,44,30,64,21.88%,3.19,0:02:03,0.00%,0,$0.00 
Food & Drink/Cooking & Recipes/Culinary Training,44,25,59,20.34%,3.71,0:03:40,0.00%,0,$0.00 
Internet & Telecom/Web Services/Web Hosting & Domain Registration/Domain Registration,44,34,57,17.54%,3.33,0:02:43,0.00%,0,$0.00 
Science/Biological Sciences/Genetics,44,35,60,21.67%,2.52,0:00:53,0.00%,0,$0.00 
Shopping,44,31,77,16.88%,4.61,0:06:37,0.00%,0,$0.00 
Sports/Sporting Goods/Roller Skating & Rollerblading Equipment,44,34,78,10.26%,3.06,0:02:39,0.00%,0,$0.00 
Sports/Team Sports/Handball,44,38,82,9.76%,3.09,0:02:13,0.00%,0,$0.00 
Autos & Vehicles/Motor Vehicles (By Brand)/SEAT,43,25,226,16.37%,3.99,0:05:35,0.00%,0,$0.00 
Computers & Electronics/Networking/Distributed & Cloud Computing,43,38,77,25.97%,2.73,0:04:10,0.00%,0,$0.00 
Food & Drink/Beverages,43,26,104,19.23%,3.47,0:06:11,0.00%,0,$0.00 
People & Society/Social Issues & Advocacy/Work & Labor Issues,43,33,76,15.79%,3.45,0:02:49,0.00%,0,$0.00 
Autos & Vehicles/Bicycles & Accessories/BMX Bikes,42,27,48,14.58%,2.52,0:00:41,0.00%,0,$0.00 
Autos & Vehicles/Commercial Vehicles,42,34,63,12.70%,3.05,0:04:12,0.00%,0,$0.00 
Beauty & Fitness/Face & Body Care/Unwanted Body & Facial Hair Removal,42,34,50,8.00%,3.36,0:03:14,0.00%,0,$0.00 
Food & Drink/Cooking & Recipes/Cuisines/Mediterranean Cuisine/Greek Cuisine,42,34,98,30.61%,2.89,0:04:13,0.00%,0,$0.00 
Games/Tile Games,42,31,69,14.49%,2.86,0:02:09,0.00%,0,$0.00 
Home & Garden/Bed & Bath/Bedroom,42,31,67,10.45%,3.58,0:05:16,0.00%,0,$0.00 
Law & Government/Legal/Product Liability,42,29,61,14.75%,4.08,0:01:59,0.00%,0,$0.00 
Sports/Sporting Goods/Basketball Equipment,42,31,59,20.34%,3.07,0:01:19,0.00%,0,$0.00 
Business & Industrial/Agriculture & Forestry/Aquaculture,40,31,74,12.16%,8.72,0:18:31,0.00%,0,$0.00 
Cold & Flu,40,35,69,13.04%,2.71,0:03:30,0.00%,0,$0.00 
Autos & Vehicles/Motor Vehicles (By Type)/Sedans,39,31,56,21.43%,2.82,0:02:40,0.00%,0,$0.00 
Books & Literature/Fan Fiction,39,37,86,34.88%,2.88,0:04:07,0.00%,0,$0.00 
Computers & Electronics/Consumer Electronics/Camera & Photo Equipment/Cameras & Camcorders/Cameras/Digital SLR Cameras,39,35,68,11.76%,4.01,0:03:14,0.00%,0,$0.00 
Food & Drink/Cooking & Recipes/Cuisines/Latin American Cuisine/Caribbean Cuisine,39,33,56,16.07%,7.5,0:06:34,0.00%,0,$0.00 
Games,39,29,46,10.87%,7.11,0:04:07,0.00%,0,$0.00 
People & Society/Family & Relationships/Friendship,39,31,74,29.73%,3.95,0:04:20,0.00%,0,$0.00 
Real Estate/Real Estate Services/Real Estate Title & Escrow,39,33,59,20.34%,3.41,0:01:52,0.00%,0,$0.00 
Reference/Geographic Reference/City & Local Guides,39,29,67,13.43%,4.87,0:09:47,0.00%,0,$0.00 
Shopping/Apparel/Athletic Apparel/Cycling Apparel,39,35,46,15.22%,2.61,0:01:25,0.00%,0,$0.00 
Sports/Sporting Goods/Tennis Equipment,39,33,53,9.43%,3.28,0:01:51,0.00%,0,$0.00 
Autos & Vehicles/Vehicle Parts & Services,38,33,60,21.67%,2.93,0:03:41,0.00%,0,$0.00 
Food & Drink/Cooking & Recipes/Cuisines/Latin American Cuisine/South American Cuisine,38,30,87,14.94%,3.14,0:03:45,0.00%,0,$0.00 
Food & Drink/Cooking & Recipes/Cuisines/Mediterranean Cuisine/Spanish Cuisine,38,26,61,16.39%,3.23,0:04:13,0.00%,0,$0.00 
Food & Drink/Food & Grocery Retailers/Bakeries,38,23,73,17.81%,3.44,0:03:15,0.00%,0,$0.00 
Games/Computer & Video Games/Video Game Development,38,30,56,32.14%,2.98,0:03:20,0.00%,0,$0.00 
Home & Garden/HVAC & Climate Control/Air Conditioners,38,25,93,26.88%,2.48,0:03:08,0.00%,0,$0.00 
Shopping/Apparel/Formal Wear,38,25,84,11.90%,6.23,0:06:23,0.00%,0,$0.00 
Sports/Winter Sports,38,33,94,13.83%,4.4,0:03:23,0.00%,0,$0.00 
Travel/Specialty Travel,38,31,50,20.00%,3.68,0:02:18,0.00%,0,$0.00 
Business & Industrial/Business Services/Office Services/Office & Facilities Management,37,33,46,28.26%,2.78,0:01:52,0.00%,0,$0.00 
Finance/Insurance/Travel Insurance,37,30,73,10.96%,6.26,0:07:06,0.00%,0,$0.00 
Food & Drink/Food & Grocery Retailers/Convenience Stores,37,29,52,7.69%,2.94,0:00:50,0.00%,0,$0.00 
Online Communities/Virtual Worlds,37,31,43,32.56%,2.81,0:01:11,0.00%,0,$0.00 
Science/Earth Sciences,37,29,85,20.00%,2.92,0:04:58,0.00%,0,$0.00 
Autos & Vehicles/Bicycles & Accessories/Bike Helmets & Protective Gear,35,29,74,10.81%,5.77,0:09:34,0.00%,0,$0.00 
Games/Computer & Video Games/Simulation Games/City Building Games,35,29,43,32.56%,2.09,0:00:43,0.00%,0,$0.00 
Pets & Animals/Pets/Exotic Pets,35,25,72,11.11%,3.53,0:04:51,0.00%,0,$0.00 
Business & Industrial/Business Services/Office Services,34,20,100,10.00%,3.78,0:04:43,0.00%,0,$0.00 
Finance/Credit & Lending/Loans/Vehicle Financing/Auto Financing/Auto Leasing,34,23,55,14.55%,3.29,0:02:48,0.00%,0,$0.00 
People & Society/Family & Relationships/Marriage,34,29,262,30.53%,2.99,0:09:30,0.00%,0,$0.00 
Real Estate/Property Development,34,29,77,12.99%,2.51,0:02:23,0.00%,0,$0.00 
Sports,34,22,103,28.16%,3.04,0:04:17,0.00%,0,$0.00 
Arts & Entertainment/Movies/Romance Films,33,27,42,19.05%,2.86,0:01:00,0.00%,0,$0.00 
Arts & Entertainment/Visual Art & Design/Sculpture,31,26,40,17.50%,3.22,0:01:11,0.00%,0,$0.00 
Computers & Electronics/Consumer Electronics/Gadgets & Portable Electronics/Wearable Technology,31,29,35,20.00%,3.09,0:02:10,0.00%,0,$0.00 
Games/Computer & Video Games/Music & Dance Games,31,29,46,21.74%,3.78,0:04:11,0.00%,0,$0.00 
Jobs & Education/Education/Early Childhood Education,31,23,73,9.59%,3.29,0:02:02,0.00%,0,$0.00 
Jobs & Education/Education/Study Abroad,31,23,136,37.50%,3.49,0:13:40,0.00%,0,$0.00 
Jobs & Education/Jobs/Job Listings/Education Jobs,31,29,43,20.93%,3.37,0:03:33,0.00%,0,$0.00 
Sports/Sporting Goods/Hockey Equipment,31,25,44,15.91%,3.48,0:02:39,0.00%,0,$0.00 
Arts & Entertainment/Entertainment Industry,30,26,43,16.28%,4.35,0:03:55,0.00%,0,$0.00 
Autos & Vehicles/Bicycles & Accessories/Cruiser Bicycles,30,25,37,18.92%,4.03,0:02:49,0.00%,0,$0.00 
Autos & Vehicles/Motor Vehicles (By Brand)/Isuzu,30,25,39,17.95%,3.28,0:04:01,0.00%,0,$0.00 
Games/Dice Games,30,22,107,14.95%,2.85,0:04:41,0.00%,0,$0.00 
Games/Family-Oriented Games & Activities/Drawing & Coloring,30,17,57,7.02%,6.82,0:04:16,0.00%,0,$0.00 
Games/Table Games/Table Tennis,30,21,61,27.87%,3.02,0:01:40,0.00%,0,$0.00 
Sports/Animal Sports,30,23,52,17.31%,3.12,0:02:59,0.00%,0,$0.00 
Arts & Entertainment/Music & Audio/Jazz & Blues,29,21,42,21.43%,2.86,0:04:39,0.00%,0,$0.00 
Food & Drink/Cooking & Recipes/Cuisines/Eastern European Cuisine,29,22,60,16.67%,3.65,0:08:33,0.00%,0,$0.00 
Shopping/Discount & Outlet Stores,29,20,67,26.87%,3.09,0:06:02,0.00%,0,$0.00 
Autos & Vehicles/Bicycles & Accessories/Bike Frames,27,20,37,10.81%,3.46,0:02:24,0.00%,0,$0.00 
Autos & Vehicles/Motor Vehicles (By Brand)/Bentley,27,25,33,27.27%,2.76,0:00:57,0.00%,0,$0.00 
Autos & Vehicles/Motor Vehicles (By Type)/Sports Cars,27,25,55,14.55%,3.96,0:03:51,0.00%,0,$0.00 
Computers & Electronics/Consumer Electronics/TV & Video Equipment/Televisions/Projection TVs,27,16,57,29.82%,2.81,0:03:49,0.00%,0,$0.00 
