# ----------------------------------------,,,,,,,,,
# Cage Code Site Data,,,,,,,,,
# Interests: Other Categories,,,,,,,,,
# 20160401-20180407,,,,,,,,,
# ----------------------------------------,,,,,,,,,
,,,,,,,,,
Other Category,Users,New Users,Sessions,Bounce Rate,Pages / Session,Avg. Session Duration,Goal Conversion Rate,Goal Completions,Goal Value
Food & Drink/Food/Baked Goods,"2,363","1,932","3,958",18.92%,3.66,0:04:00,0.00%,0,$0.00 
Reference/General Reference/Forms Guides & Templates,"2,335","1,842","4,552",19.57%,3.49,0:03:55,0.00%,0,$0.00 
Arts & Entertainment/Fun & Trivia/Fun Tests & Silly Surveys,"2,320","1,949","4,329",17.39%,3.42,0:04:26,0.00%,0,$0.00 
Games/Computer & Video Games/Browser Games,"2,270","1,934","4,493",18.94%,3.47,0:03:47,0.00%,0,$0.00 
Shopping/Apparel/Clothing Accessories/Gems & Jewelry,"2,264","1,847","4,663",17.33%,3.82,0:04:48,0.00%,0,$0.00 
Business & Industrial/Construction & Maintenance/Building Materials & Supplies,"2,255","1,673","4,398",19.01%,3.32,0:03:52,0.00%,0,$0.00 
Online Communities/Photo & Video Sharing/Photo & Image Sharing,"2,252","1,961","4,265",17.00%,3.59,0:04:20,0.00%,0,$0.00 
Sports/International Sports Competitions/Olympics,"2,238","1,671","4,015",17.14%,3.9,0:04:23,0.00%,0,$0.00 
Jobs & Education/Jobs/Career Resources & Planning,"2,232","1,806","3,439",17.53%,3.69,0:03:12,0.00%,0,$0.00 
Arts & Entertainment/Humor/Funny Pictures & Videos,"2,213","1,943","3,870",19.61%,3.45,0:03:30,0.00%,0,$0.00 
Autos & Vehicles/Motor Vehicles (By Type)/Trucks & SUVs/Pickup Trucks,"2,204","1,782","3,577",15.32%,3.52,0:03:47,0.00%,0,$0.00 
Business & Industrial/Transportation & Logistics/Freight & Trucking,"2,193","1,598","5,989",26.11%,3.11,0:03:48,0.00%,0,$0.00 
Arts & Entertainment/Music & Audio/Music Videos,"2,189","1,768","6,409",22.16%,3.68,0:06:56,0.00%,0,$0.00 
Computers & Electronics/Electronics & Electrical/Test & Measurement,"2,172","1,418","5,602",19.89%,3.51,0:04:56,0.00%,0,$0.00 
Business & Industrial/Chemicals Industry/Coatings & Adhesives,"2,159","1,375","4,988",14.15%,3.53,0:03:53,0.00%,0,$0.00 
Games/Roleplaying Games,"2,158","1,844","4,745",23.27%,3.24,0:04:31,0.00%,0,$0.00 
Travel/Bus & Rail,"2,150","1,665","4,381",17.21%,3.49,0:03:34,0.00%,0,$0.00 
Home & Garden/Home Furnishings,"2,141","1,692","3,849",17.23%,3.97,0:04:27,0.00%,0,$0.00 
Arts & Entertainment/Events & Listings/Movie Listings & Theater Showtimes,"2,137","1,746","3,737",15.65%,3.61,0:03:42,0.00%,0,$0.00 
Law & Government/Government/Legislative Branch,"2,091","1,740","3,606",16.50%,3.96,0:04:37,0.00%,0,$0.00 
Science/Chemistry,"2,090","1,515","3,797",15.54%,3.85,0:04:49,0.00%,0,$0.00 
Arts & Entertainment/Music & Audio/Dance & Electronic Music,"2,088","1,742","5,107",20.27%,3.54,0:05:48,0.00%,0,$0.00 
Autos & Vehicles/Motor Vehicles (By Brand)/Ford,"2,088","1,693","3,512",15.49%,3.57,0:03:48,0.00%,0,$0.00 
Computers & Electronics/Electronics & Electrical/Power Supplies,"2,084","1,421","4,462",16.76%,3.88,0:05:24,0.00%,0,$0.00 
Finance/Banking,"2,068","1,678","3,623",23.68%,3.48,0:03:38,0.00%,0,$0.00 
Computers & Electronics/Consumer Electronics/Electronic Accessories,"2,061","1,429","5,135",17.84%,3.9,0:05:18,0.00%,0,$0.00 
Internet & Telecom/Web Apps & Online Tools,"2,039","1,748","3,391",20.20%,3.59,0:04:05,0.00%,0,$0.00 
Beauty & Fitness/Hair Care,"2,037","1,648","3,889",20.96%,3.9,0:05:04,0.00%,0,$0.00 
Internet & Telecom/Web Services/Web Design & Development,"2,011","1,734","3,007",23.11%,3.27,0:03:07,0.00%,0,$0.00 
Arts & Entertainment/Events & Listings/Event Ticket Sales,"2,005","1,628","3,589",17.50%,3.48,0:03:48,0.00%,0,$0.00 
Food & Drink/Food/Fruits & Vegetables,"2,003","1,632","3,035",16.41%,3.31,0:03:14,0.00%,0,$0.00 
Business & Industrial/Business Services/Quality Control & Tracking,"1,996","1,413","3,799",12.58%,3.67,0:03:48,0.00%,0,$0.00 
Shopping/Antiques & Collectibles,"1,960","1,542","3,435",20.29%,3.42,0:04:02,0.00%,0,$0.00 
Computers & Electronics/Software/Freeware & Shareware,"1,958","1,607","3,383",19.83%,3.58,0:04:30,0.00%,0,$0.00 
Travel/Tourist Destinations/Beaches & Islands,"1,947","1,555","3,319",16.36%,3.47,0:03:17,0.00%,0,$0.00 
Food & Drink/Restaurants,"1,945","1,520","3,701",25.94%,3.67,0:04:16,0.00%,0,$0.00 
News/Business News/Company News,"1,911","1,354","5,747",24.31%,4.8,0:07:35,0.00%,0,$0.00 
Autos & Vehicles/Vehicle Parts & Services/Vehicle Parts & Accessories/Auto Exterior,"1,897","1,459","3,515",17.38%,3.5,0:03:35,0.00%,0,$0.00 
Books & Literature,"1,884","1,476","3,242",15.58%,3.69,0:03:51,0.00%,0,$0.00 
Business & Industrial/Chemicals Industry/Plastics & Polymers,"1,854","1,236","4,702",17.23%,3.6,0:04:40,0.00%,0,$0.00 
Home & Garden/Yard & Patio,"1,837","1,435","3,195",15.81%,3.56,0:04:00,0.00%,0,$0.00 
Internet & Telecom/Search Engines/People Search,"1,829","1,192","4,218",16.57%,3.52,0:04:08,0.00%,0,$0.00 
Arts & Entertainment/Events & Listings/Concerts & Music Festivals,"1,827","1,436","3,144",17.75%,3.37,0:03:25,0.00%,0,$0.00 
Business & Industrial/Small Business/Business Formation,"1,823","1,430","3,755",21.54%,3.54,0:04:46,0.00%,0,$0.00 
Business & Industrial/Industrial Materials & Equipment/Heavy Machinery,"1,807","1,356","3,373",18.38%,3.3,0:03:38,0.00%,0,$0.00 
Arts & Entertainment/Movies/Bollywood & South Asian Film,"1,798","1,584","4,215",24.25%,3.81,0:06:12,0.00%,0,$0.00 
Business & Industrial/Transportation & Logistics/Import & Export,"1,790","1,327","4,150",18.67%,3.71,0:04:20,0.00%,0,$0.00 
Computers & Electronics/Enterprise Technology/Data Management,"1,784","1,498","3,477",18.81%,4.19,0:04:58,0.00%,0,$0.00 
Computers & Electronics/Consumer Electronics/Camera & Photo Equipment/Cameras & Camcorders/Cameras,"1,782","1,393","3,403",19.37%,3.47,0:04:32,0.00%,0,$0.00 
Internet & Telecom/Service Providers/Cable & Satellite Providers,"1,739","1,396","3,373",18.94%,3.65,0:05:09,0.00%,0,$0.00 
Computers & Electronics/Computer Hardware/Computer Peripherals/Input Devices,"1,730","1,272","3,362",14.93%,4.02,0:04:22,0.00%,0,$0.00 
Arts & Entertainment/Music & Audio/Music Reference/Song Lyrics & Tabs,"1,705","1,316","3,467",18.20%,3.25,0:03:56,0.00%,0,$0.00 
Sports/Motor Sports/Auto Racing,"1,701","1,425","3,653",16.78%,3.42,0:03:33,0.00%,0,$0.00 
Finance/Investing/Currencies & Foreign Exchange/Digital Currencies,"1,693","1,433","2,883",19.74%,3.47,0:03:19,0.00%,0,$0.00 
Arts & Entertainment/Comics & Animation/Anime & Manga,"1,677","1,345","3,656",23.28%,3.11,0:03:44,0.00%,0,$0.00 
Real Estate/Real Estate Listings/Residential Rentals,"1,675","1,356","2,999",19.24%,3.48,0:03:29,0.00%,0,$0.00 
Computers & Electronics/Computer Hardware/Computer Peripherals/Computer Monitors & Displays,"1,673","1,259","3,226",17.70%,3.77,0:04:27,0.00%,0,$0.00 
News/Local News,"1,669","1,363","3,330",12.73%,3.4,0:03:19,0.00%,0,$0.00 
Law & Government/Government/Royalty,"1,650","1,332","2,770",15.42%,3.78,0:04:10,0.00%,0,$0.00 
Business & Industrial/Business Operations/Human Resources/Compensation & Benefits,"1,635","1,345","2,386",17.44%,3.46,0:03:07,0.00%,0,$0.00 
Hobbies & Leisure/Outdoors/Fishing,"1,632","1,284","3,220",17.02%,3.38,0:03:54,0.00%,0,$0.00 
Home & Garden/Kitchen & Dining/Cookware & Diningware,"1,620","1,222","3,062",21.10%,3.41,0:04:19,0.00%,0,$0.00 
Business & Industrial/Industrial Materials & Equipment/Fluid Handling/Valves Hoses & Fittings,"1,606",976,"4,831",21.82%,3.6,0:05:28,0.00%,0,$0.00 
Travel/Car Rental & Taxi Services,"1,573","1,260","2,695",17.18%,3.76,0:03:28,0.00%,0,$0.00 
Arts & Entertainment/TV & Video/TV Shows & Programs/TV Sci-Fi & Fantasy Shows,"1,570","1,318","2,475",14.67%,3.76,0:03:48,0.00%,0,$0.00 
Games/Computer & Video Games/Shooter Games,"1,567","1,337","2,997",22.42%,3.47,0:04:05,0.00%,0,$0.00 
Arts & Entertainment/TV & Video/TV Shows & Programs/TV Talk Shows,"1,564","1,251","2,814",17.48%,3.57,0:03:29,0.00%,0,$0.00 
Autos & Vehicles/Personal Aircraft,"1,560","1,136","3,275",19.33%,3.69,0:04:28,0.00%,0,$0.00 
Books & Literature/Magazines,"1,549","1,283","2,874",18.37%,3.45,0:03:55,0.00%,0,$0.00 
Computers & Electronics/Software/Internet Software/Internet Clients & Browsers,"1,547","1,208","3,643",24.43%,3.59,0:05:11,0.00%,0,$0.00 
Arts & Entertainment/Online Media/Online Image Galleries,"1,537","1,268","4,212",21.68%,3.61,0:04:37,0.00%,0,$0.00 
"Computers & Electronics/Computer Hardware/Computer Peripherals/Printers, Copiers & Fax Machines/Printers","1,537","1,189","2,915",19.42%,3.46,0:03:42,0.00%,0,$0.00 
Arts & Entertainment/Music & Audio/Rock Music/Indie & Alternative Music,"1,526","1,209","3,319",17.26%,3.78,0:04:17,0.00%,0,$0.00 
Hobbies & Leisure/Outdoors/Hiking & Camping,"1,517","1,199","2,673",16.87%,3.54,0:04:23,0.00%,0,$0.00 
Finance/Credit & Lending/Loans/Home Financing/Mortgages,"1,511","1,178","2,673",16.12%,4.01,0:04:18,0.00%,0,$0.00 
Computers & Electronics/Software/Business & Productivity Software/Word Processing Software,"1,510","1,113","2,879",15.14%,4.63,0:06:51,0.00%,0,$0.00 
Internet & Telecom/Web Services/Web Hosting & Domain Registration,"1,506","1,254","2,463",19.77%,3.28,0:03:36,0.00%,0,$0.00 
